Timestamp,pH,Temperature,Dissolved_Oxygen,Turbidity,Water_Quality
2026-01-01 00:00:00,7.21,26.9,8.21,24783.23,Good
2026-01-01 00:00:05,7.22,26.63,8.2,8674.25,Good
2026-01-01 00:00:10,7.21,26.85,8.19,3035.97,Good
2026-01-01 00:00:15,7.22,27.17,8.18,1062.35,Good
2026-01-01 00:00:20,7.19,27.07,8.17,371.82,Good
2026-01-01 00:00:25,7.21,26.72,8.21,130.21,Good
2026-01-01 00:00:30,7.2,27.05,8.18,45.59,Good
2026-01-01 00:00:35,7.19,26.99,8.15,15.92,Good
2026-01-01 00:00:40,7.22,27.01,8.23,5.57,Good
2026-01-01 00:00:45,7.19,27.0,8.17,1.64,Good
2026-01-01 00:00:50,7.21,27.0,8.21,0.63,Good
2026-01-01 00:00:55,7.21,26.98,8.22,0.1,Good
2026-01-01 00:01:00,7.2,27.06,8.25,0.21,Good
2026-01-01 00:01:05,7.2,26.87,8.22,0.3,Good
2026-01-01 00:01:10,7.22,27.0,8.19,0.11,Good
2026-01-01 00:01:15,7.19,26.89,8.21,0.11,Good
2026-01-01 00:01:20,7.21,27.33,8.16,0.07,Good
2026-01-01 00:01:25,7.21,26.59,8.22,-0.08,Good
2026-01-01 00:01:30,7.21,26.9,8.22,-0.06,Good
2026-01-01 00:01:35,7.19,26.92,8.16,-0.05,Good
2026-01-01 00:01:40,7.21,26.84,8.21,-0.14,Good
2026-01-01 00:01:45,7.19,27.0,8.21,-0.02,Good
2026-01-01 00:01:50,7.19,26.83,8.2,0.15,Good
2026-01-01 00:01:55,7.2,26.74,8.19,-0.02,Good
2026-01-01 00:02:00,7.17,26.66,8.21,-0.02,Good
2026-01-01 00:02:05,7.19,27.14,8.18,-0.05,Good
2026-01-01 00:02:10,7.21,27.03,8.19,0.13,Good
2026-01-01 00:02:15,7.21,27.02,8.22,-0.18,Good
2026-01-01 00:02:20,7.21,26.72,8.2,-0.17,Good
2026-01-01 00:02:25,7.21,27.0,8.18,0.12,Good
2026-01-01 00:02:30,7.22,27.27,8.23,0.02,Good
2026-01-01 00:02:35,7.2,26.99,8.19,-0.15,Good
2026-01-01 00:02:40,7.21,27.12,8.21,-0.06,Good
2026-01-01 00:02:45,7.2,27.21,8.19,-0.22,Good
2026-01-01 00:02:50,7.19,27.31,8.2,-0.12,Good
2026-01-01 00:02:55,7.21,27.09,8.2,0.04,Good
2026-01-01 00:03:00,7.2,26.76,8.17,-0.21,Good
2026-01-01 00:03:05,7.19,26.96,8.19,-0.12,Good
